Sample;Distance in [km];Carrier;Country pair;Lead time;Equipment;Volume yearly [m3];Customer;Domestic;Origin region;Destination region;Holiday;Driver stress level;Loading meter;Driver exp in years;Inflation rate;Pick up time;Carrier Hub Loc;Price
109;1264,56;Carrier4;FR-DE;42,152;Standard;4960;Customer1;no;Origin_east;Dest_north;1;21;14;11;1;14pm;HU;1248,248148
110;362;Carrier5;DE-DE;12,06666667;Standard;4880;Customer1;yes;Origin_south;Dest_west;1;40;12;23;4;14pm;NL;738,7489088
111;561,563;Carrier6;DE-CZ;18,71876667;Standard;5600;Customer1;no;Origin_south;Dest_north;0;25;11;4;4;15pm;TR;852,8215988
112;137,302;Carrier7;DE-DE;4,576733333;Mega;4160;Customer4;yes;Origin_north;Dest_east;0;26;5;37;4;15pm;GB;561,9465416
113;1199,614;Carrier1;DE-PL;39,98713333;Standard;2480;Customer1;no;Origin_east;Dest_south;0;39;14;33;-1;15pm;DE;1167,852231
114;889,555;Carrier2;DE-HU;29,65183333;Standard;7280;Customer1;no;Origin_north;Dest_north;0;13;3;36;-1;15pm;FR;1020,092247
115;3158,663;Carrier3;TR-DE;105,2887667;Standard;3680;Customer1;no;Origin_west;Dest_west;1;14;1;17;0;16pm;PL;2299,173636
116;651,387;Carrier4;FR-DE;21,7129;Standard;5600;Customer1;no;Origin_east;Dest_east;1;28;14;33;4;15pm;HU;903,9338938
117;681,57;Carrier5;DE-FR;22,719;Standard;2160;Customer1;no;Origin_west;Dest_north;1;11;3;8;0;16pm;NL;915,012735
118;857,863;Carrier6;DE-HU;28,59543333;Standard;7600;Customer1;no;Origin_west;Dest_south;0;22;9;8;3;14pm;TR;1021,895208
119;824,941;Carrier7;DE-FR;27,49803333;Standard;5280;Customer1;no;Origin_west;Dest_south;1;30;0;30;-1;15pm;GB;1026,836971
120;1101,931;Carrier1;GB-DE;36,73103333;Standard;7280;Customer1;no;Origin_west;Dest_north;0;11;1;19;2;16pm;DE;1149,720667
121;1057,335;Carrier2;PL-DE;35,2445;Standard;5280;Customer1;no;Origin_north;Dest_west;1;12;11;27;3;15pm;FR;1106,165105
122;821,444;Carrier3;FR-DE;27,38146667;Standard;2960;Customer1;no;Origin_east;Dest_east;0;17;5;23;0;15pm;PL;978,0260286
123;806,355;Carrier4;NL-DE;26,8785;Standard;4080;Customer1;no;Origin_north;Dest_south;1;37;9;3;4;15pm;HU;981,5638076
124;450,89226;Carrier5;DE-DE;15,029742;Standard;2480;Customer1;yes;Origin_south;Dest_east;0;26;7;27;-1;16pm;NL;772,8066746
125;1966,127;Carrier6;DE-GB;65,53756667;Standard;4480;Customer1;no;Origin_east;Dest_east;0;12;14;7;1;15pm;TR;1661,630064
126;664,259;Carrier7;NL-DE;22,14196667;Standard;7840;Customer1;no;Origin_east;Dest_north;1;28;1;23;4;16pm;GB;939,8328514
127;561,78174;Carrier1;DE-DE;18,726058;Standard;2160;Customer1;yes;Origin_south;Dest_south;0;18;2;12;-1;15pm;DE;816,0558202
128;726,439;Carrier2;DE-DE;24,21463333;Standard;4480;Customer1;yes;Origin_north;Dest_west;0;36;14;36;0;14pm;FR;930,0629518
129;210,745;Carrier3;DE-DE;7,024833333;Standard;3600;Customer1;yes;Origin_north;Dest_east;0;13;11;4;4;14pm;PL;635,095323
130;839,939;Carrier4;PL-DE;27,99796667;Standard;4560;Customer1;no;Origin_west;Dest_west;0;38;9;3;-1;15pm;HU;986,3354268
131;1183,744;Carrier5;FR-DE;39,45813333;Standard;4720;Customer1;no;Origin_north;Dest_east;0;40;3;17;4;14pm;NL;1205,058127
132;431,017;Carrier6;CZ-DE;14,36723333;Standard;2880;Customer1;no;Origin_south;Dest_south;1;21;4;9;0;16pm;TR;755,4378896
133;686,647;Carrier7;DE-CZ;22,88823333;Standard;2400;Customer1;no;Origin_west;Dest_south;0;16;11;8;1;15pm;GB;906,3506479
134;421,848;Carrier1;CZ-DE;14,0616;Standard;7200;Customer1;no;Origin_west;Dest_west;1;29;6;35;2;16pm;DE;757,9048359
135;799,192;Carrier2;DE-FR;26,63973333;Standard;8000;Customer1;no;Origin_west;Dest_north;1;23;3;15;2;14pm;FR;1008,874439
136;679,071;Carrier3;DE-FR;22,6357;Standard;6480;Customer1;no;Origin_south;Dest_east;1;11;9;12;-1;15pm;PL;934,5207223
137;553,093;Carrier4;NL-DE;18,43643333;Standard;6080;Customer1;no;Origin_west;Dest_south;0;36;12;33;2;16pm;HU;851,303224
138;638,85;Carrier5;CZ-DE;21,295;Mega;7360;Customer4;no;Origin_north;Dest_south;0;33;6;12;4;15pm;NL;847,2287288
139;96,634;Carrier6;DE-DE;3,221133333;Mega;1600;Customer4;yes;Origin_north;Dest_south;0;16;10;35;4;15pm;TR;516,8017105
140;1280,573;Carrier7;DE-GB;42,68576667;Standard;3840;Customer1;no;Origin_north;Dest_north;0;38;11;19;-1;14pm;GB;1271,684217
141;1256,977;Carrier1;GB-DE;41,89923333;Standard;5520;Customer1;no;Origin_north;Dest_west;0;32;12;5;3;16pm;DE;1225,793465
142;303,12;Carrier2;DE-DE;10,104;Standard;3760;Customer1;yes;Origin_east;Dest_east;1;19;7;25;0;15pm;FR;684,3583833
143;100,036;Carrier3;CZ-DE;3,334533333;Mega;1280;Customer5;no;Origin_west;Dest_west;0;32;6;19;3;16pm;PL;517,6256166
144;935,984;Carrier4;DE-FR;31,19946667;Standard;6480;Customer1;no;Origin_east;Dest_south;1;27;5;23;3;14pm;HU;1085,051788
145;202,811;Carrier5;DE-DE;6,760366667;Mega;6240;Customer2;yes;Origin_south;Dest_east;0;17;11;31;1;14pm;NL;687,2978039
146;625,515;Carrier6;NL-DE;20,8505;Standard;7840;Customer1;no;Origin_north;Dest_south;0;24;10;27;2;14pm;TR;913,4187104
147;860,95295;Carrier7;DE-HU;28,69843167;Standard;7040;Customer1;no;Origin_south;Dest_north;1;34;8;27;2;14pm;GB;1024,207926
148;588,118;Carrier1;NL-DE;19,60393333;Standard;5920;Customer1;no;Origin_north;Dest_north;0;35;3;6;0;15pm;DE;856,9051862
149;1012,495;Carrier2;DE-HU;33,74983333;Standard;1760;Customer1;no;Origin_north;Dest_north;0;34;11;26;0;15pm;FR;1052,040188
150;530,028;Carrier3;DE-DE;17,6676;Mega;3360;Customer5;yes;Origin_east;Dest_east;0;32;1;4;-1;15pm;PL;789,7341257
151;1101,427;Carrier4;DE-GB;36,71423333;Standard;1520;Customer1;no;Origin_west;Dest_south;1;28;13;21;0;14pm;HU;1140,588074
152;1210,009;Carrier5;DE-GB;40,33363333;Standard;7440;Customer1;no;Origin_east;Dest_east;1;25;6;7;0;16pm;NL;1247,51251
153;290,215;Carrier6;DE-DE;9,673833333;Standard;720;Customer1;yes;Origin_south;Dest_east;0;20;10;29;4;15pm;TR;673,7087504
154;201,827;Carrier7;DE-CZ;6,727566667;Mega;4560;Customer5;no;Origin_south;Dest_south;0;40;14;7;0;16pm;GB;620,1207371
155;236,336;Carrier1;DE-DE;7,877866667;Mega;4400;Customer2;yes;Origin_west;Dest_west;1;23;7;13;4;15pm;DE;676,0830166
156;532,801;Carrier2;DE-FR;17,76003333;Standard;1440;Customer1;no;Origin_west;Dest_east;1;33;0;25;3;15pm;FR;812,2208042
157;145,429;Carrier3;DE-DE;4,847633333;Mega;7920;Customer5;yes;Origin_north;Dest_west;1;24;3;14;1;14pm;PL;602,3715866
158;1162,861;Carrier4;GB-DE;38,76203333;Standard;2720;Customer1;no;Origin_east;Dest_north;1;39;2;25;-1;16pm;HU;1166,19983
159;76,683;Carrier5;DE-DE;2,5561;Standard;4640;Customer1;yes;Origin_east;Dest_south;0;33;9;34;3;15pm;NL;574,8217407
160;1088,552;Carrier6;PL-DE;36,28506667;Mega;6880;Customer4;no;Origin_east;Dest_south;1;21;0;6;1;16pm;TR;1099,701452
161;1180,372;Carrier7;DE-GB;39,34573333;Standard;1280;Customer1;no;Origin_south;Dest_west;0;33;1;4;1;15pm;GB;1197,088123
162;930,349;Carrier1;PL-DE;31,01163333;Standard;7520;Customer1;no;Origin_east;Dest_south;1;24;10;5;1;14pm;DE;1044,964973
163;890,415;Carrier2;DE-HU;29,6805;Standard;6240;Customer1;no;Origin_north;Dest_east;0;37;2;40;4;14pm;FR;1013,460621
164;34,996;Carrier3;DE-DE;1,166533333;Mega;800;Customer4;yes;Origin_south;Dest_east;1;11;8;31;3;14pm;PL;462,9879448
165;1063,609;Carrier4;FR-DE;35,45363333;Standard;2160;Customer1;no;Origin_south;Dest_west;1;30;7;36;3;14pm;HU;1114,698791
166;1317,562;Carrier5;GB-DE;43,91873333;Standard;4640;Customer1;no;Origin_south;Dest_west;0;15;0;29;0;15pm;NL;1271,781642
167;490,175;Carrier6;DE-DE;16,33916667;Standard;2960;Customer1;yes;Origin_east;Dest_east;1;39;10;15;4;15pm;TR;802,847279
168;414,504;Carrier7;DE-DE;13,8168;Standard;3200;Customer1;yes;Origin_east;Dest_north;0;18;7;37;1;15pm;GB;765,8688288
169;2862,601;Carrier1;TR-DE;95,42003333;Standard;2240;Customer1;no;Origin_west;Dest_south;0;21;0;4;-1;14pm;DE;2112,067539
170;540,997;Carrier2;DE-CZ;18,03323333;Standard;3040;Customer3;no;Origin_west;Dest_east;1;30;11;14;0;15pm;FR;860,932495
171;1063,153;Carrier3;DE-HU;35,43843333;Mega;1360;Customer2;no;Origin_west;Dest_east;1;14;14;33;3;16pm;PL;1112,232564
172;483,606;Carrier4;DE-DE;16,1202;Mega;4000;Customer4;yes;Origin_north;Dest_south;0;23;3;5;2;14pm;HU;744,5991391
173;510,994;Carrier5;DE-DE;17,03313333;Mega;4960;Customer4;yes;Origin_north;Dest_north;0;26;8;28;0;16pm;NL;771,1661355
174;1082,249;Carrier6;PL-DE;36,07496667;Standard;880;Customer1;no;Origin_east;Dest_east;1;26;9;16;2;14pm;TR;1107,677622
175;1191,877;Carrier7;DE-GB;39,72923333;Standard;7120;Customer1;no;Origin_east;Dest_east;1;12;14;29;0;15pm;GB;1243,807704
176;2642,106;Carrier1;TR-DE;88,0702;Standard;5920;Customer1;no;Origin_east;Dest_west;0;13;14;16;4;15pm;DE;2011,969419
177;672,609;Carrier2;CZ-DE;22,4203;Mega;880;Customer5;no;Origin_south;Dest_east;1;25;1;40;0;16pm;FR;836,1319497
178;1258,76;Carrier3;DE-PL;41,95866667;Standard;6720;Customer1;no;Origin_west;Dest_north;0;17;3;13;0;15pm;PL;1239,454621
179;1031,491;Carrier4;GB-DE;34,38303333;Standard;2240;Customer1;no;Origin_east;Dest_north;1;30;5;36;1;14pm;HU;1088,14371
180;351,659;Carrier5;DE-DE;11,72196667;Standard;1040;Customer1;yes;Origin_west;Dest_south;0;19;10;2;1;16pm;NL;706,4441013
181;1009,881;Carrier6;PL-DE;33,6627;Standard;400;Customer1;no;Origin_south;Dest_west;0;21;11;37;2;16pm;TR;1063,200691
182;1230,336;Carrier7;DE-PL;41,0112;Standard;2800;Customer5;no;Origin_south;Dest_north;1;16;1;40;3;15pm;GB;1186,418249
183;773,966;Carrier1;DE-HU;25,79886667;Standard;7440;Customer1;no;Origin_south;Dest_east;1;23;14;15;2;16pm;DE;951,0485468
184;615,705;Carrier2;DE-FR;20,5235;Standard;2320;Customer1;no;Origin_east;Dest_north;0;25;2;27;2;16pm;FR;865,450601
185;1219,384;Carrier3;DE-GB;40,64613333;Standard;2560;Customer1;no;Origin_east;Dest_east;1;31;14;24;-1;14pm;PL;1210,456834
186;878,703;Carrier4;FR-DE;29,2901;Standard;2320;Customer1;no;Origin_north;Dest_south;1;33;8;21;3;14pm;HU;1010,662899
187;596,34;Carrier5;DE-DE;19,878;Mega;1520;Customer4;yes;Origin_south;Dest_east;0;11;4;16;-1;15pm;NL;796,0751826
